Line Number,Lines of Code,Function Name,Module,Source Code
14505,12,cb_httpc_result,,
14517,21,cb_altcp_recv_fn,,
14538,23,cmd_stack_wifi,,
14561,10,cmd_exception_illegal_ins,,
14571,10,cmd_exception_store,,
14581,10,cmd_exception_l_illegal,,
14591,10,cmd_exception_load,,
14601,45,cmd_dma,,
14646,385,cmd_cks,,
15031,26,cmd_aes,,
15057,17,cmd_trng,,
15074,15,cmd_sha,,
15089,57,cmd_wifi,,
15146,14,cmd_pka,,
15160,10,cmd_aws,,
15170,12,proc_hellow_entry,,
15182,23,char_to_hex,,
15205,21,cmd_httpc_test,,
15226,21,get_dts_addr,,
15247,89,client_demo,,
15336,90,http_test_cmd,,
15426,72,aos_loop_proc,AliOS (Loop),
15498,12,vApplicationStackOverflowHook,FreeRTOS,
15510,14,vApplicationMallocFailedHook,FreeRTOS,
15524,11,vApplicationIdleHook,FreeRTOS,
15535,23,check_dts_config,,
15558,158,_connect_wifi,,
15716,163,event_cb_wifi_event,,
15879,14,vApplicationGetIdleTaskMemory,FreeRTOS,
15893,16,vApplicationGetTimerTaskMemory,FreeRTOS,
15909,14,vAssertCalled,FreeRTOS,
15923,65,bfl_main,,
15988,34,ShadowUpdateStatusCallback,,
16022,18,windowActuate_Callback,,
16040,282,aws_main_entry,AWS MQTT,
16322,11,cmd_coex_dump,,
16333,11,codex_debug_cli_init,,
16344,10,mm_rx_filter_set,???RivieraWaves MM,
16354,12,element_notify_status_enabled,,
16366,12,blmac_ap_setf,,
16378,23,ascii_to_hex,,
16401,11,element_notify_time_last_received_set,,
16412,32,blmac_encr_cntrl_pack,,
16444,15,element_notify_keepalive_received,,
16459,14,hal_machw_rx_duration,,
16473,26,mm_env_max_ampdu_duration_set,???RivieraWaves MM,
16499,16,mm_env_init,???RivieraWaves MM,
16515,24,mm_init,???RivieraWaves MM,
16539,11,mm_active,???RivieraWaves MM,
16550,22,mm_reset,???RivieraWaves MM,
16572,39,mm_tbtt_evt,???RivieraWaves MM,
16611,26,mm_sec_machwaddr_wr,???RivieraWaves MM,
16637,59,mm_sec_keydump,???RivieraWaves MM,
16696,53,mm_sec_machwkey_wr,???RivieraWaves MM,
16749,34,mm_sec_machwkey_del,???RivieraWaves MM,
16783,18,mm_sec_machwaddr_del,???RivieraWaves MM,
16801,13,mm_hw_idle_evt,???RivieraWaves MM,
16814,20,mm_hw_info_set,???RivieraWaves MM,
16834,16,mm_hw_ap_info_set,???RivieraWaves MM,
16850,14,mm_hw_ap_info_reset,???RivieraWaves MM,
16864,22,mm_back_to_host_idle,???RivieraWaves MM,
16886,16,mm_force_idle_req,???RivieraWaves MM,
16902,121,mm_sta_add,???RivieraWaves MM,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/mm/mm.c#L1414
17023,52,mm_sta_del,???RivieraWaves MM,
17075,11,mm_cfg_element_keepalive_timestamp_update,???RivieraWaves MM,
17086,14,mm_send_connection_loss_ind,???RivieraWaves MM,
17100,18,mm_ap_probe_cfm,???RivieraWaves MM,
17118,68,mm_check_rssi,???RivieraWaves MM,
17186,17,mm_send_csa_traffic_ind,???RivieraWaves MM,
17203,97,mm_check_beacon,???RivieraWaves MM,
17300,50,mm_sta_tbtt,???RivieraWaves MM,
17350,15,mm_get_rsn_wpa_ie,???RivieraWaves MM,
17365,115,mm_tim_update_proceed,???RivieraWaves MM,
17480,13,mm_bcn_init,???RivieraWaves MM,
17493,56,mm_bcn_init_vif,???RivieraWaves MM,
17549,17,mm_tim_update,???RivieraWaves MM,
17566,115,mm_bcn_transmit,???RivieraWaves MM,
17681,65,mm_bcn_updated,???RivieraWaves MM,
17746,16,mm_bcn_update,???RivieraWaves MM,
17762,29,mm_bcn_transmitted,???RivieraWaves MM,
17791,19,mm_bcn_change,???RivieraWaves MM,
17810,19,mm_timer_hw_set,???RivieraWaves MM,
17829,9,cmp_abs_time,,
17838,12,mm_timer_init,???RivieraWaves MM,
17850,32,mm_timer_set,???RivieraWaves MM,
17882,18,mm_timer_clear,???RivieraWaves MM,
17900,31,mm_timer_schedule,???RivieraWaves MM,
17931,42,ps_uapsd_timer_handle,RivieraWaves PS,
17973,14,blmac_pwr_mgt_setf,,
17987,45,ps_dpsm_update,RivieraWaves PS,
18032,36,ps_send_pspoll,RivieraWaves PS,
18068,13,ps_init,RivieraWaves PS,
18081,59,ps_set_mode,RivieraWaves PS,
18140,51,ps_enable_cfm,RivieraWaves PS,
18191,38,ps_disable_cfm,RivieraWaves PS,
18229,35,ps_polling_frame,RivieraWaves PS,
18264,72,ps_check_beacon,RivieraWaves PS,
18336,73,ps_check_frame,RivieraWaves PS,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/ps/ps.c#L979
18409,30,ps_check_tx_frame,RivieraWaves PS,
18439,26,ps_uapsd_set,RivieraWaves PS,
18465,43,ps_traffic_status_update,RivieraWaves PS,
18508,17,mm_ps_change_ind,???RivieraWaves MM,
18525,33,rxl_mpdu_transfer,???RivieraWaves RXL,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/rx/rxl/rxl_cntrl.c#L199
18558,13,rxl_init,???RivieraWaves RXL,
18571,21,rxl_cntrl_dump,???RivieraWaves RXL,
18592,55,rxl_timer_int_handler,???RivieraWaves RXL,
18647,10,rxl_timeout_int_handler,???RivieraWaves RXL,
18657,12,rxl_dma_int_handler,???RivieraWaves RXL,
18669,11,rxl_dma_evt,???RivieraWaves RXL,
18680,12,rxl_frame_release,???RivieraWaves RXL,
18692,35,rxl_mpdu_free,???RivieraWaves RXL,
18727,193,rxl_cntrl_evt,???RivieraWaves RXL,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/rx/rxl/rxl_cntrl.c#L885
18920,16,bl60x_firmwre_mpdu_free,,
18936,12,rxl_reset,???RivieraWaves RXL,
18948,51,rxl_hwdesc_dump,???RivieraWaves RXL,
18999,128,rxl_hwdesc_init,???RivieraWaves RXL,
19127,31,rxl_hd_append,???RivieraWaves RXL,
19158,43,rxl_pd_append,???RivieraWaves RXL,
19201,10,scan_search_ds,RivieraWaves SCAN,
19211,19,scan_init,RivieraWaves SCAN,
19230,37,scan_set_channel_request,RivieraWaves SCAN,
19267,11,dma_cb,,
19278,14,scan_ie_download,RivieraWaves SCAN,
19292,69,scan_probe_req_tx,RivieraWaves SCAN,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/scan/scan.c#L146
19361,14,scan_send_cancel_cfm,RivieraWaves SCAN,
19375,24,sta_mgmt_entry_init,???RivieraWaves STA,
19399,34,sta_mgmt_init,???RivieraWaves STA,
19433,78,sta_mgmt_register,???RivieraWaves STA,https://github.com/lupyuen/AliOS-Things/blob/master/platform/mcu/bk7231u/beken/ip/lmac/src/sta/sta_mgmt.c#L135
19511,17,sta_mgmt_unregister,???RivieraWaves STA,
19528,39,sta_mgmt_add_key,???RivieraWaves STA,
19567,12,sta_mgmt_del_key,???RivieraWaves STA,
19579,52,sta_mgmt_send_postponed_frame,???RivieraWaves STA,
